,breaches,new_demand,waiting_list
2019-09-15,73.7,,2660.9
2019-09-22,45.1,,2567.4
2019-09-29,18.700000000000003,,2699.4
2019-10-06,48.400000000000006,,2884.2000000000003
2019-10-13,61.60000000000001,,2863.3
2019-10-20,73.7,,2909.5000000000005
2019-10-27,69.30000000000001,,2835.8
2019-11-03,33.0,,2910.6000000000004
2019-11-10,48.400000000000006,,3015.1000000000004
2019-11-17,50.6,,2918.3
2019-11-24,36.300000000000004,,3009.6000000000004
2019-12-01,14.3,,2982.1000000000004
2019-12-08,19.8,,2832.5000000000005
2019-12-15,40.7,,2429.9
2019-12-22,56.1,,2915.0000000000005
2019-12-29,41.800000000000004,,2733.5
2020-01-05,62.7,,2674.1000000000004
2020-01-12,56.1,,2712.6000000000004
2020-01-19,36.300000000000004,,2724.7000000000003
2020-01-26,26.400000000000002,,2709.3
2020-02-02,15.400000000000002,,2600.4
2020-02-09,9.9,,2833.6000000000004
2020-02-16,12.100000000000001,,2918.3
2020-02-23,26.400000000000002,,2737.9
2020-03-01,7.700000000000001,,2836.9
2020-03-08,25.3,,2915.0000000000005
2020-03-15,52.800000000000004,,2737.9
2020-03-22,49.50000000000001,,2618.0
2020-03-29,12.100000000000001,,1845.8000000000002
2020-04-05,12.100000000000001,,1348.6000000000001
2020-04-12,17.6,,1009.8000000000001
2020-04-19,8.8,,874.5000000000001
2020-04-26,13.200000000000001,,793.1
2020-05-03,0.0,,864.6
2020-05-10,5.5,,1024.1000000000001
2020-05-17,2.2,,1177.0
2020-05-24,3.3000000000000003,,1281.5
2020-05-31,3.3000000000000003,,1471.8000000000002
2020-06-07,11.0,,1729.2
2020-06-14,20.900000000000002,,2044.9
2020-06-21,22.0,,2108.7000000000003
2020-06-28,19.8,,2227.5
2020-07-05,12.100000000000001,,2389.2000000000003
2020-07-12,25.3,,2500.3
2020-07-19,31.900000000000002,,2526.7000000000003
2020-07-26,34.1,,2554.2000000000003
2020-08-02,33.0,,2643.3
2020-08-09,59.400000000000006,,2594.9
2020-08-16,85.80000000000001,,2679.6000000000004
2020-08-23,84.7,,2731.3
2020-08-30,91.30000000000001,,2824.8
2020-09-06,101.2,,2737.9
2020-09-13,181.50000000000003,,2879.8
2020-09-20,218.9,,2996.4
2020-09-27,245.3,,3138.3
2020-10-04,284.90000000000003,,3324.2000000000003
2020-10-11,300.3,,3361.6000000000004
2020-10-18,256.3,,3379.2000000000003
2020-10-25,212.3,,3396.8
2020-11-01,160.60000000000002,,3323.1000000000004
2020-11-08,195.8,,2680.7000000000003
2020-11-15,140.8,,2752.2000000000003
2020-11-22,113.30000000000001,,2789.6000000000004
2020-11-29,125.4,,3050.3
2020-12-06,231.00000000000003,,3378.1000000000004
2020-12-13,215.60000000000002,,3499.1000000000004
2020-12-20,224.4,,3399.0000000000005
2020-12-27,246.40000000000003,,3614.6000000000004
2021-01-03,251.90000000000003,,3410.0000000000005
2021-01-10,266.20000000000005,,3533.2000000000003
2021-01-17,401.50000000000006,,3703.7000000000003
2021-01-24,651.2,,3944.6000000000004
2021-01-31,819.5000000000001,,3901.7000000000003
2021-02-07,935.0000000000001,,3944.6000000000004
2021-02-14,953.7,,3943.5000000000005
2021-02-21,1144.0,,4018.3
2021-02-28,1205.6000000000001,,4161.3
2021-03-07,1252.9,,4237.200000000001
2021-03-14,1115.4,,4182.200000000001
2021-03-21,943.8000000000001,,4152.5
2021-03-28,788.7,,3907.2000000000003
2021-04-04,668.8000000000001,,3943.5000000000005
2021-04-11,591.8000000000001,,3698.2000000000003
2021-04-18,473.00000000000006,,3614.6000000000004
2021-04-25,387.20000000000005,,3568.4
2021-05-02,356.40000000000003,,3813.7000000000003
2021-05-09,326.70000000000005,,3786.2000000000003
2021-05-16,326.70000000000005,,3788.4
2021-05-23,195.8,,3635.5000000000005
2021-05-30,80.30000000000001,,3583.8
2021-06-06,73.7,,3484.8
2021-06-13,134.20000000000002,,3616.8
2021-06-20,113.30000000000001,,3531.0000000000005
2021-06-27,74.80000000000001,,3565.1000000000004
2021-07-04,100.10000000000001,,3730.1000000000004
2021-07-11,150.70000000000002,,3807.1000000000004
2021-07-18,103.4,,3608.0000000000005
2021-07-25,110.00000000000001,,3600.3
2021-08-01,209.00000000000003,,3726.8
2021-08-08,179.3,,3936.9
2021-08-15,235.4,,4005.1000000000004
2021-08-22,269.5,,3859.9
2021-08-29,207.9,,3896.2000000000003
2021-09-05,157.3,,3752.1000000000004
2021-09-12,151.8,,3822.5000000000005
2021-09-19,189.20000000000002,,3764.2000000000003
2021-09-26,214.50000000000003,,3863.2000000000003
2021-10-03,150.70000000000002,,3626.7000000000003
2021-10-10,202.4,,3811.5000000000005
2021-10-17,191.4,,3852.2000000000003
2021-10-24,242.00000000000003,,3999.6000000000004
2021-10-31,303.6,,4217.400000000001
2021-11-07,374.00000000000006,,4319.700000000001
2021-11-14,440.00000000000006,,4383.5
2021-11-21,510.40000000000003,,4217.400000000001
2021-11-28,493.90000000000003,,4316.400000000001
2021-12-05,525.8000000000001,,4411.0
2021-12-12,443.3,,4502.3
2021-12-19,471.90000000000003,,4704.700000000001
2021-12-26,614.9000000000001,,4811.400000000001
2022-01-02,717.2,,4480.3
2022-01-09,896.5000000000001,,4485.8
2022-01-16,947.1,,4634.3
2022-01-23,975.7,,4709.1
2022-01-30,1056.0,,5127.1
2022-02-06,1016.4000000000001,,5284.400000000001
2022-02-13,834.9000000000001,,5527.5
2022-02-20,808.5000000000001,,5557.200000000001
2022-02-27,872.3000000000001,,5607.8
2022-03-06,965.8000000000001,,5654.000000000001
2022-03-13,1114.3000000000002,,5768.400000000001
2022-03-20,1091.2,,5791.500000000001
2022-03-27,1240.8000000000002,,5693.6
2022-04-03,1257.3000000000002,1403.6000000000001,5802.500000000001
2022-04-10,1251.8000000000002,1416.8000000000002,5833.3
2022-04-17,1239.7,1117.6000000000001,5418.6
2022-04-24,1218.8000000000002,1028.5,5106.200000000001
2022-05-01,1147.3000000000002,1173.7,4992.900000000001
2022-05-08,1105.5,1076.9,4870.8
2022-05-15,1058.2,1405.8000000000002,4959.900000000001
2022-05-22,940.5000000000001,1344.2,4745.400000000001
2022-05-29,805.2,1376.1000000000001,4549.6
2022-06-05,617.1,889.9000000000001,4153.6
2022-06-12,487.3,1313.4,4112.900000000001
2022-06-19,452.1,1060.4,3954.5000000000005
2022-06-26,310.20000000000005,1293.6000000000001,3837.9
2022-07-03,217.8,1405.8000000000002,4098.6
2022-07-10,246.40000000000003,1248.5,4263.6
2022-07-17,233.20000000000002,1221.0,4158.0
2022-07-24,192.50000000000003,1300.2,4011.7000000000003
2022-07-31,152.9,1226.5,3966.6000000000004
2022-08-07,159.5,1135.2,3781.8
2022-08-14,155.10000000000002,1196.8000000000002,3790.6000000000004
2022-08-21,145.20000000000002,1135.2,3577.2000000000003
2022-08-28,130.9,1424.5000000000002,3779.6000000000004
2022-09-04,138.60000000000002,1102.2,3840.1000000000004
2022-09-11,148.5,1248.5,3936.9
2022-09-18,158.4,1293.6000000000001,3993.0000000000005
2022-09-25,216.70000000000002,1227.6000000000001,3894.0000000000005
2022-10-02,170.5,1279.3000000000002,3779.6000000000004
2022-10-09,220.00000000000003,1306.8000000000002,3807.1000000000004
2022-10-16,166.10000000000002,1292.5,3770.8
2022-10-23,154.0,1225.4,3612.4
2022-10-30,115.50000000000001,1164.9,3437.5000000000005
2022-11-06,100.10000000000001,1346.4,3624.5000000000005
2022-11-13,119.9,1377.2,3734.5000000000005
2022-11-20,102.30000000000001,1387.1000000000001,3798.3
2022-11-27,91.30000000000001,1347.5,3865.4
2022-12-04,52.800000000000004,1326.6000000000001,3817.0000000000005
2022-12-11,77.0,1400.3000000000002,4037.0000000000005
2022-12-18,90.2,1392.6000000000001,4079.9000000000005
2022-12-25,101.2,1204.5,3867.6000000000004
2023-01-01,78.10000000000001,766.7,3625.6000000000004
2023-01-08,170.5,1039.5,3617.9
2023-01-15,183.70000000000002,1138.5,3524.4
2023-01-22,215.60000000000002,1378.3000000000002,3626.7000000000003
2023-01-29,139.70000000000002,1390.4,3579.4
2023-02-05,93.50000000000001,1282.6000000000001,3491.4
2023-02-12,78.10000000000001,1403.6000000000001,3668.5000000000005
2023-02-19,78.10000000000001,1223.2,3577.2000000000003
2023-02-26,57.2,1291.4,3674.0000000000005
2023-03-05,51.7,1333.2,3790.6000000000004
2023-03-12,64.9,1376.1000000000001,3874.2000000000003
2023-03-19,80.30000000000001,1182.5,3719.1000000000004
2023-03-26,96.80000000000001,1388.2,3743.3
2023-04-02,92.4,1309.0,3719.1000000000004
2023-04-09,121.00000000000001,1125.3000000000002,3666.3
2023-04-16,143.0,863.5000000000001,3437.5000000000005
2023-04-23,134.20000000000002,1206.7,3382.5000000000005
2023-04-30,35.2,1217.7,3317.6000000000004
2023-05-07,79.2,1210.0,3364.9
2023-05-14,105.60000000000001,1244.1000000000001,3665.2000000000003
2023-05-21,91.30000000000001,1254.0,3763.1000000000004
2023-05-28,46.2,1236.4,3655.3
2023-06-04,79.2,1051.6000000000001,3777.4
2023-06-11,124.30000000000001,1348.6000000000001,4263.6
2023-06-18,338.8,1313.4,4314.200000000001
2023-06-25,346.5,1409.1000000000001,4546.3
2023-07-02,203.50000000000003,1173.7,4148.1
2023-07-09,315.70000000000005,1267.2,4285.6
2023-07-16,518.1,1144.0,4395.6
2023-07-23,759.0000000000001,1184.7,4472.6
2023-07-30,823.9000000000001,1244.1000000000001,4600.200000000001
2023-08-06,970.2,1274.9,4919.200000000001
2023-08-13,1126.4,1015.3000000000001,4952.200000000001
2023-08-20,1116.5,1194.6000000000001,4917.0
2023-08-27,1163.8000000000002,1184.7,5016.0
2023-09-03,1159.4,1135.2,5201.900000000001
2023-09-10,1162.7,1267.2,5160.1
2023-09-17,1182.5,1312.3000000000002,5232.700000000001
2023-09-24,1001.0000000000001,1419.0000000000002,5255.8
2023-10-01,720.5000000000001,1450.9,5065.5
2023-10-08,688.6,1326.6000000000001,5204.1
2023-10-15,869.0000000000001,643.5,5450.5
2023-10-22,787.6,1292.5,5573.700000000001
2023-10-29,882.2,1327.7,5630.900000000001
2023-11-05,951.5000000000001,1439.9,5799.200000000001
2023-11-12,1062.6000000000001,1412.4,5786.000000000001
2023-11-19,1302.4,1372.8000000000002,5795.900000000001
2023-11-26,1510.3000000000002,1373.9,5953.200000000001
2023-12-03,1393.7,1415.7,5852.000000000001
2023-12-10,1392.6000000000001,1285.9,5828.900000000001
2023-12-17,1551.0000000000002,1252.9,5845.400000000001
2023-12-24,1647.8000000000002,1433.3000000000002,5926.8
2023-12-31,1729.2,826.1,5580.3
2024-01-07,1630.2,998.8000000000001,5398.8
2024-01-14,1646.7,1548.8000000000002,5644.1
